GENE	293A_WT_T22_AB_XF498	293A_LKB1_T22_AB	293A_PTEN_T22_AB	293A_VHL_T22_AB	293A_BAP1NUMBER2_16_T25_AB	293A_CDH1NUMBER2_15_T24_AB	293A_NF2NUMBER2_3_T24_AB	293A_WT_T21_AB_XF646	293A_PBRM1_T25_AB	293A_SETD2_T24_AB	293A_WT_T20_AB_XF804	293A_ARID1A_T21_AB	293A_NF1_T24_AB	293A_RB1_T21_AB	293A_TP53_T21_AB	293A_WT_T21_AB_XF821	293A_KEAP1_T22_AB	293A_g53BP1#1_T22_AB
MRPS11	38.492	36.43	37.841	27.876	24.925	35.236999999999995	39.65	45.858000000000004	22.508000000000003	19.973	31.906	25.982	27.408	34.699	22.293000000000003	23.019000000000002	40.486	48.486
MRPS12	45.503	23.219	52.642	36.131	33.801	26.37	5.819	30.281	29.218000000000004	19.564	25.664	22.566	19.897000000000002	28.686999999999998	16.146	25.913	28.415	35.684
MRPS14	49.872	46.091	79.837	34.664	48.031000000000006	38.111	38.351	56.248000000000005	39.484	55.418	42.402	37.671	12.765999999999998	12.81	12.579	19.496	10.248	-10.597
MRPS15	-4.105	-4.59	0.621	4.4830000000000005	1.564	1.145	-4.446000000000001	3.698	-3.2239999999999998	-5.784	0.513	2.645	3.952	-0.215	-3.2910000000000004	-5.774	-4.1160000000000005	10.589
MRPS16	31.556	31.618	37.13800000000001	17.465999999999998	27.453000000000003	23.504	19.477999999999998	39.468	19.795	29.612	30.235	30.546	32.196999999999996	46.367	21.186	32.909	23.454	35.467
MRPS17	-10.297	-12.181	-9.055	-9.046	-3.766	-17.897000000000002	-4.434	-10.955	-9.906	-10.039	-9.639	-24.146	-9.295	-3.984	-4.763	-16.226	-8.139	-9.539
MRPS18A	8.051	18.369	19.552	4.995	3.15	17.425	-0.691	12.231	9.027000000000001	10.8	7.079	18.743	1.54	11.857000000000001	3.8689999999999998	9.762	4.53	1.68
MRPS18B	26.6	15.298	28.005	28.472	22.414	33.798	21.116	33.994	20.664	21.18	25.375	26.044	15.335999999999999	21.97	20.775	19.959	22.949	32.538000000000004
MRPS18C	19.163	27.64	45.106	13.140999999999998	25.929000000000002	7.602	24.819000000000003	22.835	19.195999999999998	19.738	23.114	16.257	11.913	26.533	17.866	3.753	31.375999999999998	22.329
MRPS2	19.109	16.777	19.296	12.550999999999998	6.2989999999999995	15.103	16.849	13.655	7.624	11.792	15.482000000000001	17.955	4.372	5.593	20.656999999999996	17.031	16.258	27.317
MRPS21	22.368	18.357	21.937	27.754	14.127	23.015	17.927	14.215	13.212	11.105	29.334	26.468000000000004	19.11	22.199	11.342	18.972	18.145	23.004
MRPS22	10.745	14.687	11.567	-4.437	10.942	3.029	12.908	8.917	3.091	-0.713	14.152000000000001	2.4459999999999997	5.811	11.669	11.187000000000001	-1.32	4.7139999999999995	23.205
MRPS23	24.389	24.016	34.137	7.05	27.144000000000002	11.915999999999999	21.644000000000002	20.664	18.554000000000002	27.894000000000002	33.221	15.895	18.239	28.889	28.23	29.956999999999997	21.138	24.511
MRPS24	33.147	31.748	36.967	35.94300000000001	36.567	27.921	25.305999999999997	41.123999999999995	28.305	34.363	27.987	31.750999999999998	5.817	18.359	2.073	16.496	18.621	26.664
